ROUTEID,ROUTENAME,ROADTYPE,BLOCKKEY,TOTALTRAVELLANES,TOTALTRAVELLANEWIDTH,TOTALTRAVELLANESINBOUND,TOTALTRAVELLANESOUTBOUND,SUMMARYDIRECTION,FHWAFUNCTIONALCLASS,NHSCODE,OWNERSHIP,SPEEDLIMITS_IB,SPEEDLIMITS_OB,STREETNAME,STREETTYPE,BLOCKID,DCFUNCTIONALCLASS,NHSTYPE,WARD_ID,ANC_ID,SMD_ID,BLOCK_NAME,ROAD,START,END,MIDPOINT,ADDRESS,MAR_ID,SURFACE_TYPE,OBJECTID,SHAPE,DC_MAINTENANCE_OPERATIONS,MAINTENANCE_OPERATIONS,SHAPELEN
14091241,WASHINGTON BLVD SW,1,58153ec89c725f7451bf8686bb5a2ce4,2,22,0,2,OB,7,,2,,,WASHINGTON,BLVD,14091241-14060412A_14091241-14060412_14091241,19,,2,2A,2A01,0 - 0 BLOCK OF WASHINGTON BOULEVARD SW,WASHINGTON BOULEVARD SW,0,0,0,"0 WASHINGTON BOULEVARD SW WASHINGTON, DC",801059,6,2793807,,2,66,0
12089962,VISTA ST NE,1,a500525422532c01ad22475bf73721ba,2,21,1,1,BD,5,,1,,20,VISTA,ST,12089962-12002702_12089962-12081442_12089962,17,,5,5C,5C07,2700 - 2899 BLOCK OF VISTA STREET NE,VISTA STREET NE,2700,2899,2800,"2800 VISTA STREET NE WASHINGTON, DC",810347,7,2793808,,1,1,0
13069812,PENNSYLVANIA AVE SE,1,0e428e02efa15fa682765b17a71ef071,7,69,3,4,BD,3,1,1,,20,PENNSYLVANIA,AVE,13069812-13000202_13047972_13069812-13000302_13069812,14,NHS Non-Interstate,6,6B,6B02,200 - 299 BLOCK OF PENNSYLVANIA AVENUE SE,PENNSYLVANIA AVENUE SE,200,299,250,"250 PENNSYLVANIA AVENUE SE WASHINGTON, DC",812085,7,2793809,,1,1,0
13042442,H ST SE,1,4a504f01906aa275691f6d28a23200a5,1,10,0,1,OB,7,,1,,20,H,ST,13042442-13001602_13042442_13052262-13001702_13042442_58023932,19,,6,6B,6B09,1600 - 1699 BLOCK OF H STREET SE,H STREET SE,1600,1699,1650,"1650 H STREET SE WASHINGTON, DC",805457,0,2793810,,1,1,0
13064282,NEW JERSEY AVE SE,1,24c6654049c5db144506ed7247c291c2,2,22,1,1,BD,7,,3,,20,NEW JERSEY,AVE,13064282-13020322_13047972_13064282-13019822_13064282,19,,6,6B,6B01,200 - 299 BLOCK OF NEW JERSEY AVENUE SE,NEW JERSEY AVENUE SE,200,299,250,"250 NEW JERSEY AVENUE SE WASHINGTON, DC",807971,0,2793811,,3,60,0
13033212,ELVANS RD SE,1,66c9d3f92174b7654a4c3c6d01b80838,2,16,1,1,BD,7,,1,,20,ELVANS,RD,13033212-13033212_13082352-00001,19,,8,8B,8B04,2400 - 2599 BLOCK OF ELVANS ROAD SE,ELVANS ROAD SE,2400,2599,2500,"2500 ELVANS ROAD SE WASHINGTON, DC",807576,0,2793812,,1,1,0
13081512,SOUTHERN AVE SE,1,dd9cd4d77a53ca674444b007c2a2b73e,4,45,2,2,BD,4,,1,,30,SOUTHERN,AVE,13081512-13016772_13068342_13081512-13081512_13081662,16,,8,8E,8E08,700 - 860 BLOCK OF SOUTHERN AVENUE SE,SOUTHERN AVENUE SE,700,860,780,"780 SOUTHERN AVENUE SE WASHINGTON, DC",814621,7,2793813,,1,1,0
13071112,POMEROY RD SE,1,f4394100506dfb179c33e61034ef2d7a,1,10,0,0,BD,7,,1,,20,POMEROY,RD,13071112-13047382_13071112-00001,19,,8,8A,8A04,2212 - 2225 BLOCK OF POMEROY ROAD SE,POMEROY ROAD SE,2212,2225,2219,"2219 POMEROY ROAD SE WASHINGTON, DC",810925,0,2793814,,1,1,0
12092622,WEST VIRGINIA AVE NE,1,771d434e75899ffb212f7c7d847ddcc4,3,33,2,1,BD,4,,1,,20,WEST VIRGINIA,AVE,12092622-12036722_12092622-12062202_12092622,16,,5,5D,5D01,1100 - 1199 BLOCK OF WEST VIRGINIA AVENUE NE,WEST VIRGINIA AVENUE NE,1100,1199,1150,"1150 WEST VIRGINIA AVENUE NE WASHINGTON, DC",809659,7,2793815,,1,1,0
13010532,ANACOSTIA RD SE,1,52ae3627ea7e44a470c1ac23cd6a5c46,2,20,1,1,BD,7,,1,,20,ANACOSTIA,RD,13010532-13003002_13010532-13002902_13010532,19,,7,7B,7B04,1300 - 1349 BLOCK OF ANACOSTIA ROAD SE,ANACOSTIA ROAD SE,1300,1349,1325,"1325 ANACOSTIA ROAD SE WASHINGTON, DC",814169,0,2793816,,1,1,0
