OBJECTID,TRACT,BLKGRP,GEOID,GID,UTC_AC06,UTC_PCT06,UTC_AC11,UTC_PCT11,PCT_CHG_06,PCT_CHG_11,TOTAL_AC,LAND_AC,TCAN_AC,TCAN_PCT,VEG_AC,VEG_PCT,BLD_AC,BLD_PCT,TO_IA_AC,TO_IA_PCT,ROAD_AC,ROAD_PCT,PLOT_AC,PLOT_PCT,SWALK_AC,SWALK_PCT,OT_IA_AC,OT_IA_PCT,WAT_AC,WAT_PCT,SOIL_AC,SOIL_PCT,UTC_AC,UTC_PCT,PPA_V_AC,PPA_V_PCT,TO_PPA_AC,TO_PPA_PCT,PPA_IA_AC,PPA_IA_PCT,UN_V_AC,UN_V_PCT,TO_UN_AC,TO_UN_PCT,UN_IA_AC,UN_IA_PCT,UN_SL_AC,UN_SL_PCT,WTR_AC,WTR_PCT,UTC_AC_15,UTC_PCT_15,UTCAC1520,UTCPCT1520,ENRGY_CON,STRM_WTR,UHI,LAND_OWN,WLDLF_CON,ASTHMA,CARDIO,MNTL_HLTH,OBESITY,INSURANCE,POP_UNDER,HOMEOWNR,OVERALL,LOW_UTC,POS_UTC,TRACT_1,TRACT_2,GIS_ID,GLOBALID,SHAPEAREA,SHAPELEN
1,001600,4,110010016004,66,298.63,73.3518373,315.19,76.69976152,-0.07900357,-3.4269278,413.08,408.36,301.09,72.89,48.74,11.8,24.3,5.88,58.51,14.16,20.29,4.91,0.77,0.19,2.11,0.51,11.05,2.67,4.73,1.14393287,0.02,0,301.09,73.73,48.15,11.79,51.09,12.51,2.94,0.72,0.51,0.13,56.18,13.76,55.65,13.63,0.02,0,4.73,1.16,300.36,73.55274758,0.73,0.17725242,3.07306626,1.24316973,29.0081098,9.578e-05,9.63408145,8.9,5.1,6.9,24.1,4.3,0.04031083,30.2,9.02710208,26.27,12.51,11001001600,11001001600,UTC_BlockGroupPly2010_2020_66,{F1D0CF39-E8BC-4699-8689-67689607B243},0,0
2,001600,1,110010016001,63,46.59,39.32641175,54.12,45.68245125,0.46425255,-5.89178695,118.47,118.47,51.92,43.82,23.92,20.19,16.7,14.09,42.63,35.99,13.71,11.57,1.82,1.54,2.74,2.31,7.67,6.47,0,0,0,0,51.92,43.82,23.79,20.08,28.41,23.98,4.62,3.9,0.08,0.06,38.15,32.2,38.07,32.13,0,0,0,0,47.14,39.7906643,4.78,4.0293357,8.04853628,3.90322283,31.37225131,0.74811333,11.15331473,8.9,5.1,6.9,24.1,4.3,0.05720824,30.2,10.39333338,56.18,23.98,11001001600,11001001600,UTC_BlockGroupPly2010_2020_63,{8194D601-15C3-4224-9289-8B415FC6C719},0,0
3,001500,1,110010015001,58,646.29,83.87712194,644.96,83.57327044,0.93845688,1.24230838,772.11,770.93,644.94,83.53,54.59,7.07,24.11,3.12,71.34,9.24,22.25,2.88,3.77,0.49,2.98,0.39,18.23,2.36,1.18,0.15313828,0.06,0.01,644.94,83.66,54.24,7.04,61.04,7.92,6.8,0.88,0.3,0.04,64.94,8.42,64.59,8.38,0.06,0.01,1.18,0.15,653.75,84.80017641,-8.81,-1.14017641,1.17853575,1.09483739,28.21418872,0.97180854,6.26002704,7.9,5.1,6.9,18.8,3.5,0.080405,25.6,8.18297989,16.34,7.92,11001001500,11001001500,UTC_BlockGroupPly2010_2020_58,{5F982D1F-6349-4000-98BA-BA03DEAA33D4},0,0
4,010300,2,110010103002,428,16.39,27.38055463,16.71,27.84071976,1.43836924,0.97820411,60.02,60.02,18.86,31.42,9.97,16.61,10.57,17.61,31.14,51.88,8.73,14.54,3.32,5.53,1.74,2.9,6.79,11.31,0,0,0.05,0.08,18.86,31.42,9.95,16.58,15.02,25.02,5.07,8.44,0.01,0.01,26.14,43.56,26.09,43.46,0.05,0.08,0,0,17.3,28.82372542,1.56,2.59627458,11.06833572,8.4463331,31.17443851,0.03859079,4.57880741,9.7,4.8,10.4,27.7,8.5,0.18487395,13.6,10.63563542,68.58,25.02,11001010300,11001010300,UTC_BlockGroupPly2010_2020_428,{DA0D5A90-3040-4C4F-ABDF-1961355E26B3},0,0
5,001600,2,110010016002,64,14.88,31.13622097,17.42,36.45114041,3.14590545,-2.16901399,47.79,47.79,19.34,40.46,6.45,13.49,8.82,18.46,22,46.04,6.9,14.43,1.36,2.84,1.17,2.46,3.75,7.85,0,0,0,0.01,19.34,40.46,6.29,13.16,8.84,18.49,2.55,5.33,0.14,0.29,19.62,41.05,19.47,40.75,0,0.01,0,0,16.38,34.27495292,2.96,6.18504708,7.03397339,5.32735019,31.13728757,0.21013909,7.27383185,8.9,5.1,6.9,24.1,4.3,0.20029895,30.2,10.24852366,59.54,18.49,11001001600,11001001600,UTC_BlockGroupPly2010_2020_64,{E381613E-D748-4E52-BF50-C7D3E7AFFD6C},0,0
6,001600,3,110010016003,65,38.64,44.05929304,46.19,52.668187,-1.55729738,-10.16619133,87.69,87.69,39.75,45.32,17.89,20.4,11.94,13.61,30.06,34.28,10.49,11.96,0.61,0.69,1.58,1.8,5.45,6.21,0,0,0,0,39.75,45.32,17.83,20.33,20.06,22.88,2.24,2.55,0.01,0.01,27.88,31.8,27.88,31.79,0,0,0,0,37.27,42.50199567,2.48,2.81800433,8.72385217,2.55080159,30.98595677,0.19119432,16.18149358,8.9,5.1,6.9,24.1,4.3,0.02296211,30.2,10.44814028,54.68,22.88,11001001600,11001001600,UTC_BlockGroupPly2010_2020_65,{29A8C265-F387-4D65-91D0-8103C3794F1F},0,0
7,001500,4,110010015004,61,114.33,71.05214095,101.8,63.20233439,2.09830592,9.94811248,161.12,161.11,109.76,68.12,19.48,12.09,14.29,8.87,31.88,19.78,10.87,6.74,0.04,0.03,0.56,0.35,6.12,3.8,0.01,0.00690136,0,0,109.76,68.12,19.22,11.93,19.84,12.32,0.62,0.38,0.23,0.15,31.51,19.56,31.28,19.41,0,0,0.01,0.01,117.86,73.15498728,-8.1,-5.03498728,1.75443623,0.42967957,28.94591216,0.00092146,12.28636147,7.9,5.1,6.9,18.8,3.5,0.11638204,25.6,8.89347866,31.88,12.32,11001001500,11001001500,UTC_BlockGroupPly2010_2020_61,{76D25588-1C42-4015-956B-8E812B133DEB},0,0
8,001702,2,110010017022,68,33.74,26.80756396,36.28,28.82338921,1.44708554,-0.56873971,125.87,125.87,37.95,30.15,14.61,11.6,25.09,19.93,73.32,58.25,14.65,11.64,15.17,12.05,4.71,3.74,13.69,10.88,0,0,0,0,37.95,30.15,14.56,11.56,34.46,27.38,19.91,15.82,0.02,0.01,53.46,42.47,53.44,42.46,0,0,0,0,35.55,28.24342576,2.4,1.90657424,6.03290174,15.81761392,31.67763638,0.00443898,10.35435465,9.7,4.1,9.6,24.5,6.5,0.17443064,17.8,10.97522302,69.85,27.38,11001001702,11001001702,UTC_BlockGroupPly2010_2020_68,{2FD083FE-836E-4328-81A9-6238A2A7DD15},0,0
9,010300,3,110010103003,429,23.96,37.72634231,25.53,40.19839395,-0.24602735,-2.71807899,63.5,63.5,25.08,39.49,11.94,18.81,10.03,15.8,26.37,41.52,7.67,12.07,1.1,1.73,2.27,3.57,5.3,8.35,0,0,0.12,0.18,25.08,39.49,11.17,17.59,14.55,22.92,3.38,5.33,0.76,1.19,23.88,37.6,23.01,36.23,0.12,0.18,0,0,23.8,37.48031496,1.28,2.00968504,8.40487993,5.32774078,31.2547784,3.4046268,8.87210377,9.7,4.8,10.4,27.7,8.5,0.23211064,13.6,10.68422354,60.51,22.92,11001010300,11001010300,UTC_BlockGroupPly2010_2020_429,{147F7084-1005-4F3B-B993-CE4278490BCE},0,0
10,010300,1,110010103001,427,39.62,27.37132988,41.79,28.85651153,2.27236574,0.78718409,144.82,144.82,42.34,29.23,23.25,16.05,22.18,15.31,78.96,54.52,16.45,11.36,10.27,7.09,7.26,5.01,22.8,15.74,0,0,0.28,0.19,42.34,29.23,22.39,15.46,39.95,27.59,17.56,12.13,0.77,0.53,62.53,43.18,61.48,42.46,0.28,0.19,0,0,42.93,29.64369562,-0.59,-0.41369562,1.4600481,12.12560201,31.42253636,15.27061915,4.92739254,9.7,4.8,10.4,27.7,8.5,0.15919811,13.6,11.00947469,70.77,27.59,11001010300,11001010300,UTC_BlockGroupPly2010_2020_427,{A17CA16A-32BC-45AB-9B2E-33E146194E4E},0,0
11,001702,1,110010017021,67,39.21,37.72005772,44.78,43.07840308,2.69360269,-2.66474266,103.95,103.95,43.8,42.13,16.45,15.82,14.9,14.34,43.71,42.05,13.26,12.76,2.56,2.46,3.43,3.3,9.56,9.2,0,0,0,0,43.8,42.13,15.21,14.63,21.2,20.39,5.99,5.76,1.21,1.16,38.96,37.47,37.74,36.31,0,0,0,0,42.01,40.41366041,1.79,1.71633959,4.85901398,5.76257894,31.77787902,1.54321362,11.50631829,9.7,4.1,9.6,24.5,6.5,0.05353602,17.8,10.31455235,57.87,20.39,11001001702,11001001702,UTC_BlockGroupPly2010_2020_67,{8D30F11A-44ED-4808-8497-0CE7E36E850D},0,0
12,001500,5,110010015005,62,48.59,61.38201112,37.59,47.48610409,5.5836281,19.47953512,79.17,79.17,48.91,61.78,10.52,13.28,9.64,12.18,19.74,24.93,5.78,7.3,0,0,0.84,1.06,3.47,4.39,0,0,0,0,48.91,61.78,10.48,13.24,11.34,14.32,0.86,1.08,0.02,0.03,18.92,23.9,18.9,23.87,0,0,0,0,53.01,66.95718075,-4.1,-5.17718075,2.47914949,1.08368054,30.3850072,0,14.32068853,7.9,5.1,6.9,18.8,3.5,0,25.6,9.27508654,38.22,14.32,11001001500,11001001500,UTC_BlockGroupPly2010_2020_62,{9A63C3D4-2D9C-4CCD-934B-2DB7678F45F6},0,0
13,001803,1,110010018031,69,157.48,63.06768122,167.03,66.34229654,0.10487529,-3.16974003,252.68,250.67,153.63,60.8,71.24,28.19,7.93,3.14,25.61,10.14,9.5,3.76,1.89,0.75,2.47,0.98,3.81,1.51,2.01,0.79359879,0.19,0.08,153.63,61.29,45.58,18.18,49.72,19.83,4.14,1.65,25.56,10.2,47.33,18.88,21.57,8.61,0.19,0.08,2.01,0.8,158.74,63.32628555,-5.11,-2.03628555,1.86290378,1.9459979,30.12816249,0.00128679,10.70010928,11,5.1,12.8,31.8,12.5,0.36490683,11.7,10.45071044,38.71,19.83,11001001803,11001001803,UTC_BlockGroupPly2010_2020_69,{A1C82AD5-2368-44AC-8618-836B9DE97C2D},0,0
14,001500,3,110010015003,60,39.7,56.40005683,35.92,51.0082363,3.69650665,9.08832718,70.42,70.42,40.21,57.1,11,15.63,8.33,11.83,19.21,27.28,4.91,6.98,2.25,3.2,1.21,1.72,2.5,3.55,0,0,0,0,40.21,57.1,10.96,15.57,14.46,20.54,3.5,4.97,0.01,0.01,15.75,22.37,15.75,22.36,0,0,0,0,42.32,60.09656348,-2.11,-2.99656348,3.35920733,4.9677235,29.87313342,0,20.0349706,7.9,5.1,6.9,18.8,3.5,0.01039501,25.6,9.80683836,42.9,20.54,11001001500,11001001500,UTC_BlockGroupPly2010_2020_60,{90CE57F1-763D-4454-BC8F-DC232F868BB4},0,0
15,001804,2,110010018042,72,11.58,20.4992034,13.49,23.8803328,1.04443264,-2.33669676,56.48,56.48,13.52,23.93,11.15,19.73,10.17,18.01,31.82,56.34,10.12,17.91,4.07,7.2,2.75,4.87,4.72,8.35,0,0,0,0,13.52,23.93,8.6,15.23,15.44,27.33,6.84,12.1,2.52,4.47,27.53,48.74,25,44.27,0,0,0,0,12.17,21.54745042,1.35,2.38254958,6.82700114,12.10370109,32.56781771,0.57764042,0,11.2,6.1,13.9,34.1,14.4,0.55179185,14.3,12.00916976,76.07,27.33,11001001804,11001001804,UTC_BlockGroupPly2010_2020_72,{C107673B-B9E2-4E09-B420-C69F254A1F9E},0,0
16,001804,1,110010018041,71,16.36,34.09754064,20.09,41.87161317,0.81283868,-6.96123385,47.98,47.98,18.8,39.19,10.72,22.35,7.22,15.06,18.45,38.47,5.31,11.07,0.37,0.77,1.08,2.25,4.47,9.31,0,0,0,0,18.8,39.19,8.24,17.17,9.72,20.26,1.48,3.09,2.45,5.11,19.46,40.56,17.01,35.45,0,0,0,0,16.75,34.91037932,2.05,4.27962068,10.58324118,3.08598467,31.43203717,1.75125106,7.07237607,11.2,6.1,13.9,34.1,14.4,0.4136164,14.3,11.518717,60.81,20.26,11001001804,11001001804,UTC_BlockGroupPly2010_2020_71,{32A5FE6F-ACBF-4300-9104-D8977819EC95},0,0
17,001401,2,110010014012,54,52.6,49.40822844,45.64,42.86250939,4.24572609,10.79144515,106.48,106.48,55.66,52.27,15,14.08,15.92,14.95,35.83,33.65,9.56,8.98,1.98,1.86,2.19,2.05,6.18,5.8,0,0,0,0,55.66,52.27,14.64,13.75,18.79,17.65,4.15,3.9,0.32,0.3,32.03,30.09,31.72,29.79,0,0,0,0,57.12,53.64387678,-1.46,-1.37387678,3.64417575,3.89966081,30.81712565,0.5087581,16.56616654,7.9,3.6,7.4,18,3.7,0.01496259,21.3,9.59216396,47.73,17.65,11001001401,11001001401,UTC_BlockGroupPly2010_2020_54,{0428AA58-18B4-4E7A-BA6B-EFBEEAE196FE},0,0
18,009505,2,110010095052,412,29.49,25.10855683,30.51,25.97701149,1.16869112,0.30023646,117.45,117.45,31.13,26.51,23.9,20.35,20.58,17.52,62.38,53.11,16.94,14.42,6.96,5.92,3.72,3.17,14.18,12.07,0,0,0.03,0.03,31.13,26.51,22.68,19.31,33.38,28.42,10.71,9.12,1,0.85,52.93,45.07,51.9,44.19,0.03,0.03,0,0,30.86,26.27501064,0.27,0.23498936,6.7078413,9.11603803,32.63097747,0.87378323,4.99781845,10.6,6.1,9.8,29.1,8.5,0.11882353,32.4,11.49848729,73.49,28.42,11001009505,11001009505,UTC_BlockGroupPly2010_2020_412,{A2F75E2E-DEBB-4CED-BB6C-CEC3E61A2F03},0,0
19,001902,2,110010019022,40,27.39,24.03474903,31.8,27.9045279,0.71077571,-3.15900316,113.96,113.96,28.4,24.92,24.87,21.82,21.21,18.61,60.68,53.25,12.91,11.33,4.68,4.11,4.04,3.55,17.84,15.66,0,0,0,0,28.4,24.92,19.53,17.14,28.27,24.8,8.74,7.67,5.32,4.67,57.29,50.27,51.96,45.6,0,0,0,0,28.2,24.74552475,0.2,0.17447525,5.95367918,7.66794997,32.77150438,7.80441256,0.12705161,10.3,5.7,9.9,28.7,7.9,0.29739336,28.9,11.38940718,75.08,24.8,11001001902,11001001902,UTC_BlockGroupPly2010_2020_40,{C851216D-B8E2-4A3A-9A7C-43C083F99168},0,0
20,001901,4,110010019014,77,11.28,24.04604562,10.53,22.44723939,-1.32167981,0.27712641,46.91,46.91,13.09,27.9,6.75,14.38,8.57,18.26,27.08,57.73,8.17,17.42,2.42,5.16,1.74,3.7,6.18,13.17,0,0,0,0,13.09,27.9,6.73,14.35,10.91,23.25,4.17,8.9,0,0,22.92,48.86,22.92,48.86,0,0,0,0,10.66,22.72436581,2.43,5.17563419,7.8134008,8.89863826,32.55380712,0.06488967,0,10.2,5.4,9.8,28.6,7.9,0.26104418,24.1,10.9619178,72.1,23.25,11001001901,11001001901,UTC_BlockGroupPly2010_2020_77,{BD0DF5A1-6923-4CB5-8FD1-D4C04AB3AE2F},0,0
21,001500,2,110010015002,59,41.85,53.44145064,31.82,40.63338016,5.12596509,17.93403557,78.31,78.31,42.36,54.09,13.02,16.63,9.67,12.35,22.89,29.23,6.62,8.46,0.19,0.24,1.72,2.2,4.69,5.99,0,0,0.04,0.04,42.36,54.09,11.86,15.15,13.82,17.64,1.95,2.49,1.11,1.42,22.14,28.27,20.99,26.81,0.04,0.04,0,0,45.87,58.57489465,-3.51,-4.48489465,2.67906481,2.4928266,30.353046,3.792024,17.05195085,7.9,5.1,6.9,18.8,3.5,0.01745878,25.6,9.74034511,45.91,17.64,11001001500,11001001500,UTC_BlockGroupPly2010_2020_59,{C02C3AFE-696D-4629-9447-62358078C02F},0,0
22,001803,2,110010018032,70,11.93,32.67597918,13.02,35.66146261,0.93125171,-2.05423172,36.51,36.51,11.17,30.59,6.67,18.26,7.65,20.94,18.67,51.14,5.04,13.81,1.47,4.04,1.37,3.74,3.15,8.61,0,0,0,0,11.17,30.59,6.65,18.22,9.5,26.03,2.85,7.81,0.01,0.02,15.84,43.38,15.83,43.36,0,0,0,0,12.27,33.6072309,-1.1,-3.0172309,12.76677084,7.80842386,31.53744146,0.02408294,2.87774089,11,5.1,12.8,31.8,12.5,0.52633367,11.7,11.51077727,69.41,26.03,11001001803,11001001803,UTC_BlockGroupPly2010_2020_70,{3FCB9CA6-0FB1-4272-9A9A-1661386E10A1},0,0
23,001100,1,110010011001,98,49.3,47.09141274,53.04,50.66386474,5.69299838,2.12054638,104.7,104.7,54.12,51.69,10.89,10.4,19.28,18.41,39.69,37.91,9.23,8.82,2.83,2.7,2.57,2.45,5.78,5.52,0,0,0,0,54.12,51.69,10.78,10.3,16.2,15.48,5.42,5.17,0.07,0.06,34.37,32.83,34.31,32.77,0,0,0,0,55.26,52.77936963,-1.14,-1.08936963,3.11277364,5.17434421,30.70039554,0.01394019,14.02289369,7.7,4.2,7.1,17.6,3.5,0.04107981,18,9.37436888,48.31,15.48,11001001100,11001001100,UTC_BlockGroupPly2010_2020_98,{CC66496A-057C-4929-9A62-7A46E6E02807},0,0
24,001901,3,110010019013,76,9.77,22.83777466,7.84,18.32632071,-1.94015895,2.571295,42.78,42.78,9.95,23.27,3.65,8.53,9.81,22.93,29.18,68.2,8.03,18.77,0.92,2.16,1.8,4.2,8.62,20.14,0,0,0,0,9.95,23.27,3.63,8.49,6.37,14.88,2.73,6.39,0,0,26.46,61.85,26.46,61.85,0,0,0,0,8.94,20.89761571,1.01,2.37238429,3.2787967,6.38962069,32.85094334,0,0,10.2,5.4,9.8,28.6,7.9,0.15389569,24.1,10.56004375,76.73,14.88,11001001901,11001001901,UTC_BlockGroupPly2010_2020_76,{723E205A-1012-4FC5-9B10-084C1405C1C8},0,0
25,001804,3,110010018043,73,11.31,25.57087949,11.22,25.36739769,-0.72349084,-0.52000904,44.23,44.23,12.51,28.29,8.28,18.72,9.3,21.02,23.44,52.99,5.98,13.52,1.27,2.88,1.56,3.52,5.33,12.04,0,0,0,0,12.51,28.29,7.61,17.21,10.46,23.64,2.84,6.43,0.65,1.48,21.26,48.07,20.61,46.59,0,0,0,0,10.99,24.84738865,1.52,3.44261135,8.28331071,6.4298798,32.56493728,0,0,11.2,6.1,13.9,34.1,14.4,0.52622951,14.3,11.69836214,71.71,23.64,11001001804,11001001804,UTC_BlockGroupPly2010_2020_73,{45F542C4-89A2-4A0C-9FAA-80402C454414},0,0
26,001402,1,110010014021,55,50.31,60.345448,42.01,50.38982848,3.8143217,13.76994123,83.37,83.37,49.78,59.71,12.13,14.55,9.47,11.36,21.46,25.75,7.36,8.82,0.14,0.17,0.88,1.06,3.62,4.34,0,0,0,0,49.78,59.71,12.09,14.51,13.14,15.76,1.05,1.26,0,0,20.45,24.53,20.45,24.53,0,0,0,0,53.49,64.1597697,-3.71,-4.4497697,4.35385071,1.25790481,30.61404014,0.06985495,15.063445,7.9,5.4,7.4,18.7,4.5,0.01814709,15.2,9.33472701,40.29,15.76,11001001402,11001001402,UTC_BlockGroupPly2010_2020_55,{C9171C7B-4080-45D9-868A-E93539EBA39C},0,0
27,001401,1,110010014011,53,48.2,54.57427536,38.85,43.98777174,6.6236413,17.21014493,88.32,88.32,51.57,58.39,10,11.33,12.87,14.57,26.74,30.28,7.26,8.22,1.66,1.88,1.1,1.24,3.85,4.36,0,0,0,0,51.57,58.39,9.96,11.27,12.75,14.44,2.8,3.17,0.01,0.01,24,27.17,23.99,27.16,0,0,0,0,54.05,61.19791667,-2.48,-2.80791667,3.19278701,3.16547813,30.68665903,0,13.62173506,7.9,3.6,7.4,18,3.7,0.08957655,21.3,9.31771869,41.61,14.44,11001001401,11001001401,UTC_BlockGroupPly2010_2020_53,{CBC8437F-779D-4F4A-9E7C-5468FE5E461D},0,0
28,009505,1,110010095051,411,12.42,29.24417236,13.32,31.36331528,0.66633165,-1.45281128,42.47,42.47,13.07,30.77,9.26,21.79,6.4,15.08,20.14,47.43,6.86,16.15,0.29,0.69,1.27,3,5.32,12.52,0,0,0,0,13.07,30.77,9.24,21.77,10.82,25.48,1.58,3.71,0,0,18.58,43.75,18.58,43.75,0,0,0,0,12.7,29.90346127,0.37,0.86653873,11.04795846,3.71111826,32.68590734,0.00099824,0,10.6,6.1,9.8,29.1,8.5,0.17479301,32.4,11.15085035,69.23,25.48,11001009505,11001009505,UTC_BlockGroupPly2010_2020_411,{1C44586E-1182-4486-87CD-3C6B1F5F7BA5},0,0
29,001100,2,110010011002,99,46.71,40.18755915,53.88,46.35636238,4.9556913,-1.21311193,116.23,116.23,54.04,46.5,14.75,12.69,22.19,19.09,47.43,40.81,12.4,10.67,2.3,1.98,3.29,2.83,7.25,6.23,0,0,0,0,54.04,46.5,13.76,11.84,19.41,16.7,5.65,4.87,0.94,0.81,42.77,36.8,41.84,36,0,0,0,0,52.47,45.14325045,1.57,1.35674955,2.92085153,4.8649337,30.84679578,1.03392318,13.56967997,7.7,4.2,7.1,17.6,3.5,0.07981221,18,9.52468175,53.5,16.7,11001001100,11001001100,UTC_BlockGroupPly2010_2020_99,{3FF9223C-E011-4817-8E64-A4BA609308DB},0,0
30,001901,2,110010019012,75,7.91,18.69092628,9.67,22.84971645,-0.63799622,-4.79678639,42.32,42.32,9.77,23.08,7.09,16.75,8.5,20.07,25,59.08,6.58,15.54,1.63,3.85,1.56,3.7,6.74,15.92,0,0,0.46,1.09,9.77,23.08,5.27,12.45,8.48,20.04,3.21,7.59,1.8,4.26,24.07,56.88,21.81,51.53,0.46,1.09,0,0,7.64,18.05293006,2.13,5.02706994,4.14115553,7.58833067,33.05177205,3.42955543,0,10.2,5.4,9.8,28.6,7.9,0.31903766,24.1,11.05066924,76.92,20.04,11001001901,11001001901,UTC_BlockGroupPly2010_2020_75,{29195E01-2375-4F6D-B9A3-88CE2B39D9DC},0,0
31,001902,1,110010019021,39,37.64,35.67096285,47.93,45.42266869,4.88059136,-4.87111448,105.52,105.52,42.38,40.16,22.28,21.11,14.94,14.15,40.86,38.72,11.98,11.35,0.91,0.86,2.49,2.36,10.54,9.99,0,0,0.01,0.01,42.38,40.16,20.85,19.76,24.28,23.01,3.43,3.25,1.4,1.33,38.86,36.82,37.45,35.49,0.01,0.01,0,0,42.79,40.55155421,-0.41,-0.39155421,7.04772735,3.25063476,32.87427254,2.26912603,6.04596945,10.3,5.7,9.9,28.7,7.9,0.1942959,28.9,11.09134001,59.84,23.01,11001001902,11001001902,UTC_BlockGroupPly2010_2020_39,{BB4DAA16-D039-4661-9296-68CAEA0E8405},0,0
32,002001,2,110010020012,42,57.97,47.24916456,69.38,56.47997395,0.10382453,-9.12698486,122.93,122.7,62.17,50.57,22.1,17.98,14.78,12.02,38.43,31.27,13.55,11.02,0.78,0.64,1.99,1.62,7.34,5.97,0.23,0.18995777,0,0,62.17,50.67,22.07,17.99,24.86,20.26,2.79,2.27,0,0,35.67,29.07,35.66,29.07,0,0,0.23,0.19,58.14,47.38386308,4.03,3.28613692,5.62697203,2.52878239,31.1027975,0.09007428,7.1924408,10.2,5.4,11.8,28.7,11.5,0.13167939,13.5,10.31600306,49.33,20.26,11001002001,11001002001,UTC_BlockGroupPly2010_2020_42,{159CF0A5-7DAD-4645-BB76-0FC3BC9BD18D},0,0
33,009505,3,110010095053,413,29.2,30.81143822,33,34.82114593,2.26865042,-1.7410573,94.77,94.77,30.61,32.29,14.34,15.13,16.74,17.66,49.83,52.57,13.82,14.58,3.87,4.09,2.84,3,12.55,13.24,0,0,0,0,30.61,32.29,14.33,15.12,21.06,22.22,6.73,7.1,0,0,43.11,45.49,43.11,45.49,0,0,0,0,31.35,33.08008864,-0.74,-0.79008864,8.70475576,7.1010984,33.02695063,0.15812814,4.7870194,10.6,6.1,9.8,29.1,8.5,0.2029148,32.4,11.42312499,67.71,22.22,11001009505,11001009505,UTC_BlockGroupPly2010_2020_413,{3A85F960-CF89-45D8-9F99-517B0F513A82},0,0
34,001901,1,110010019011,74,12.27,21.14423574,16.53,28.48526624,1.54701168,-5.79401883,58.04,58.04,15.16,26.12,12.3,21.2,11.46,19.75,30.57,52.67,7.87,13.56,2,3.45,2.25,3.87,6.99,12.04,0,0,0,0.01,15.16,26.12,10.64,18.33,14.9,25.68,4.26,7.34,1.65,2.84,27.98,48.2,26.32,45.35,0,0.01,0,0,13.17,22.69124742,1.99,3.42875258,4.94804069,7.34202288,32.93199563,5.80571893,0,10.2,5.4,9.8,28.6,7.9,0.24056095,24.1,11.1086343,73.88,25.68,11001001901,11001001901,UTC_BlockGroupPly2010_2020_74,{838081D0-F5D0-4853-BF54-05F096C7F747},0,0
35,002001,1,110010020011,41,10.72,32.03825463,13.44,40.16736402,-0.23909145,-8.36820084,33.46,33.46,11.16,33.35,3.96,11.85,7.05,21.08,18.34,54.8,4.63,13.83,1.7,5.09,1.75,5.22,3.21,9.58,0,0,0,0,11.16,33.35,3.94,11.77,7.39,22.09,3.45,10.32,0.02,0.07,14.91,44.56,14.89,44.49,0,0,0,0,10.64,31.79916318,0.52,1.55083682,7.22439625,10.32208075,32.47696648,4.34111787,0,10.2,5.4,11.8,28.7,11.5,0.51187551,13.5,11.29380809,66.65,22.09,11001002001,11001002001,UTC_BlockGroupPly2010_2020_41,{D41D5481-8B0A-4E52-A5C5-675EC62A5D51},0,0
36,001301,1,110010013011,35,451.98,87.53364966,456.33,88.27352742,2.41198675,1.67210898,517.07,516.81,456.3,88.25,28.11,5.44,11.91,2.3,32.4,6.27,10.46,2.02,2.6,0.5,0.97,0.19,6.46,1.25,0.26,0.05070422,0.01,0,456.3,88.29,26.81,5.19,30.41,5.88,3.6,0.7,1.27,0.25,30.11,5.83,28.83,5.58,0.01,0,0.26,0.05,464.92,89.95955961,-8.62,-1.66955961,0.56375088,0.81220791,28.56115611,0.00510058,5.08013257,7.9,3.1,7.4,16.2,3.7,0.16373626,10.8,7.5936328,11.71,5.88,11001001301,11001001301,UTC_BlockGroupPly2010_2020_35,{4D1B3E18-FC84-4A8D-9152-8E3A6EA5D30C},0,0
37,009507,1,110010095071,414,13.93,19.12936007,15.37,21.10683878,3.33699533,1.35951662,72.81,72.81,13.76,18.9,16.59,22.79,12.11,16.63,42.19,57.94,11.05,15.17,1.63,2.24,1.98,2.72,15.42,21.18,0,0,0.27,0.37,13.76,18.9,15.68,21.53,19,26.09,3.32,4.56,0.91,1.24,40.06,55.01,38.88,53.4,0.27,0.37,0,0,16.36,22.46944101,-2.6,-3.56944101,12.49905986,4.55988508,32.73233833,0.72969123,0,11.1,6.5,10.9,30.3,10.1,0.37317931,35.1,11.90449794,81.1,26.09,11001009507,11001009507,UTC_BlockGroupPly2010_2020_414,{E5193C42-8AE2-4264-B59B-601B51B6FE21},0,0
38,002002,2,110010020022,44,5.94,16.98598799,8.33,23.8204175,1.45839291,-5.3760366,34.97,34.97,8.19,23.41,3.97,11.35,8.83,25.25,22.82,65.24,5.78,16.54,2.06,5.89,1.3,3.72,4.84,13.84,0,0,0,0,8.19,23.41,3.96,11.31,7.33,20.96,3.37,9.65,0,0,19.46,55.63,19.46,55.63,0,0,0,0,6.45,18.4443809,1.74,4.9656191,4.43611851,9.64749721,32.91818479,0.43926059,0,10.2,5,10.9,28.2,9.7,0.3534279,20.8,11.08527306,76.59,20.96,11001002002,11001002002,UTC_BlockGroupPly2010_2020_44,{982C7C24-CFF4-4BE4-9BDB-87715E2EAB2D},0,0
