OBJECTID,TRACT,BLKGRP,GEOID,GID,UTC_AC06,UTC_PCT06,UTC_AC11,UTC_PCT11,PCT_CHG_06,PCT_CHG_11,TOTAL_AC,LAND_AC,TCAN_AC,TCAN_PCT,VEG_AC,VEG_PCT,BLD_AC,BLD_PCT,TO_IA_AC,TO_IA_PCT,ROAD_AC,ROAD_PCT,PLOT_AC,PLOT_PCT,SWALK_AC,SWALK_PCT,OT_IA_AC,OT_IA_PCT,WAT_AC,WAT_PCT,SOIL_AC,SOIL_PCT,UTC_AC,UTC_PCT,PPA_V_AC,PPA_V_PCT,TO_PPA_AC,TO_PPA_PCT,PPA_IA_AC,PPA_IA_PCT,UN_V_AC,UN_V_PCT,TO_UN_AC,TO_UN_PCT,UN_IA_AC,UN_IA_PCT,UN_SL_AC,UN_SL_PCT,WTR_AC,WTR_PCT,UTC_AC_15,UTC_PCT_15,UTCAC1520,UTCPCT1520,ENRGY_CON,STRM_WTR,UHI,LAND_OWN,WLDLF_CON,ASTHMA,CARDIO,MNTL_HLTH,OBESITY,INSURANCE,POP_UNDER,HOMEOWNR,OVERALL,LOW_UTC,POS_UTC,TRACT_1,TRACT_2,GIS_ID,GLOBALID,SHAPEAREA,SHAPELEN
157,003200,4,110010032004,156,4.91,16.24214357,5.77,19.08699967,3.7115295,0.8666734,30.22,30.22,5.89,19.5,2.04,6.76,8.81,29.15,22.25,73.62,6,19.84,0.52,1.73,1.19,3.93,5.73,18.97,0,0,0.04,0.12,5.89,19.5,2.04,6.76,3.76,12.42,1.71,5.67,0,0,20.58,68.08,20.54,67.96,0.04,0.12,0,0,6.03,19.95367306,-0.14,-0.45367306,2.50588368,5.66917073,33.16198834,0,0.03269386,10.3,3.7,12,27,11.5,0.28739184,12.5,10.54537479,80.5,12.42,11001003200,11001003200,UTC_BlockGroupPly2010_2020_156,{F5096327-5B50-487D-9DDE-8F0F30DE46AF},0,0
158,000701,3,110010007013,12,13.81,42.50538627,10.94,33.66153846,3.8616088,12.70545661,32.51,32.51,13.8,42.46,5.25,16.14,5.88,18.07,13.39,41.2,2.82,8.69,1.56,4.79,0.94,2.88,2.2,6.76,0,0,0.07,0.21,13.8,42.46,5.22,16.07,7.74,23.8,2.51,7.73,0,0,10.97,33.74,10.9,33.53,0.07,0.21,0,0,15.06,46.32420794,-1.26,-3.86420794,1.44268754,7.73011913,30.50280959,0,12.91935557,8.1,4.5,8.1,18.3,4.4,0.07007126,11.7,9.64207586,57.54,23.8,11001000701,11001000701,UTC_BlockGroupPly2010_2020_12,{4D7A7E29-7C2F-4CFB-94F4-78045DF1ACA2},0,0
159,009301,3,110010093013,396,24.25,32.68634587,25.29,34.08815204,9.97439008,8.57258391,74.2,74.2,27.28,36.77,13.51,18.21,10.6,14.28,33.41,45.03,10.55,14.22,2.92,3.94,2.53,3.4,6.81,9.18,0,0,0,0,27.28,36.77,13.42,18.08,18.91,25.49,5.5,7.41,0.04,0.06,28.01,37.74,27.96,37.69,0,0,0,0,31.65,42.65498652,-4.37,-5.88498652,6.97628926,7.40684025,31.75077424,0.68360211,0.68625576,10,4.8,10.1,25.9,7.1,0.1012987,29,10.52770807,63.23,25.49,11001009301,11001009301,UTC_BlockGroupPly2010_2020_396,{BA3892E9-A366-43F0-96BD-9EED048F9E9A},0,0
160,002802,1,110010028021,146,1.51,6.86363636,1.86,8.45454545,2.90909091,1.31818182,22,22,2.63,11.97,0.7,3.17,8.39,38.12,18.67,84.86,3.92,17.84,1.51,6.86,2.15,9.76,2.7,12.27,0,0,0,0,2.63,11.97,0.65,2.95,4.3,19.54,3.65,16.59,0.03,0.16,15.07,68.49,15.03,68.33,0,0,0,0,2.15,9.77272727,0.48,2.19727273,7.96801971,16.59200316,32.83581084,0.71318674,0,9.5,3.6,12.7,24.6,14.2,0.28294687,8,11.18487038,88.03,19.54,11001002802,11001002802,UTC_BlockGroupPly2010_2020_146,{2AEADDCD-F0FD-4088-9971-F416239ED620},0,0
161,003000,2,110010030002,151,2.82,11.75979983,4.05,16.88907423,7.58965805,2.46038365,23.99,23.99,5.23,21.8,1.52,6.32,7.56,31.53,17.24,71.88,3.19,13.31,0.78,3.23,1.68,7.02,4.03,16.78,0,0,0,0,5.23,21.8,1.49,6.22,3.97,16.57,2.48,10.35,0,0.01,14.78,61.63,14.78,61.62,0,0,0,0,4.64,19.34139225,0.59,2.45860775,8.65399081,10.34979105,33.16038514,0.01197771,0,9.6,2.8,11.5,23.7,8.4,0.35834208,5,10.46432364,78.2,16.57,11001003000,11001003000,UTC_BlockGroupPly2010_2020_151,{89C59B9C-1083-4E82-9AEB-CA6843D10822},0,0
162,003400,2,110010034002,163,20.13,10.03839824,27.61,13.74931527,3.46005993,-0.2508571,240.2,201.06,27.33,11.38,42.09,17.52,50.22,20.91,131.59,54.78,26.24,10.92,21.49,8.95,16.06,6.69,17.57,7.32,39.14,16.2934699,0.05,0.02,27.33,13.59,41.86,20.82,79.62,39.6,37.76,18.78,0.03,0.02,94.11,46.81,94.03,46.77,0.05,0.03,39.14,19.46,27.14,13.49845817,0.19,0.09154183,0.53153724,23.03677348,33.22637607,18.52580614,0,11.8,2,13.5,22.8,8.1,0.13998853,13,11.81285499,86.41,39.6,11001003400,11001003400,UTC_BlockGroupPly2010_2020_163,{4FEAD4B4-FC7B-4B1B-895A-EA0CCF6963B1},0,0
163,003900,2,110010039002,176,37.35,68.77186522,35.88,65.43862849,2.77908963,6.11232636,57.07,55.38,39.03,68.39,3.82,6.7,4.93,8.64,12.46,21.84,3.51,6.15,1.62,2.84,1.02,1.78,1.39,2.43,1.69,2.96354031,0.06,0.1,39.03,70.48,3.7,6.68,6.36,11.49,2.66,4.81,0.09,0.16,9.98,18.03,9.84,17.76,0.06,0.1,1.69,3.05,40.09,72.39075479,-1.06,-1.91075479,1.11535832,5.29757142,31.52204243,3.47595029,9.84386044,8.2,2.1,8.6,18.6,4.8,0.04010349,6.6,8.79297471,29.52,11.49,11001003900,11001003900,UTC_BlockGroupPly2010_2020_176,{3C47C6D7-0FC6-4DA8-BE70-F074B181A1E0},0,0
164,009302,1,110010093021,398,21.62,21.69158222,24.99,25.07274004,6.24339671,2.86223889,99.67,99.67,25.51,25.59,14.87,14.92,19.35,19.41,59.27,59.47,12.65,12.69,8.13,8.16,3.49,3.5,15.66,15.71,0,0,0.01,0.01,25.51,25.59,14.51,14.56,26.07,26.16,11.56,11.6,0.25,0.25,48.09,48.25,47.82,47.98,0.01,0.01,0,0,27.84,27.93217618,-2.33,-2.34217618,5.58670968,11.59677473,33.08223645,1.34468897,0,10.6,4.4,11.4,27.9,9.5,0.26198083,19.8,11.17479848,74.41,26.16,11001009302,11001009302,UTC_BlockGroupPly2010_2020_398,{9F15946D-A3DA-48C0-8182-AF0359AFFCCB},0,0
165,009102,1,110010091021,386,15.11,24.34740574,16.67,26.85677461,10.91922871,8.40985984,62.07,62.07,19.47,31.36,14.46,23.3,8.03,12.93,28.14,45.33,9.54,15.36,3.3,5.32,1.94,3.12,5.33,8.59,0,0,0,0.01,19.47,31.36,14.41,23.22,19.69,31.72,5.28,8.5,0.01,0.02,22.91,36.92,22.89,36.89,0,0.01,0,0,21.89,35.26663445,-2.42,-3.90663445,11.75218991,8.50030501,32.65626975,0.65725207,2.26308252,11.9,6.4,13.9,35.2,10.7,0.12608158,10,11.5018159,68.64,31.72,11001009102,11001009102,UTC_BlockGroupPly2010_2020_386,{161A840B-B59F-4C21-B45A-878FAF701804},0,0
166,000400,2,110010004002,23,135.49,55.13550907,124.43,50.63069661,1.97188522,6.47669768,245.77,245.75,138.34,56.29,36.99,15.05,24.71,10.06,69.42,28.25,18.25,7.43,8.82,3.59,4.61,1.88,13.03,5.3,0.02,0.00864685,1,0.41,138.34,56.29,35.42,14.41,48.94,19.92,13.52,5.5,1.47,0.6,58.47,23.79,56,22.79,1,0.41,0.02,0.01,140.33,57.10274669,-1.99,-0.81274669,0.93098177,5.61802189,30.65567281,0.47100289,16.38247814,8.1,4.6,8.3,18.8,4.8,0.14619883,11.3,9.63733038,43.71,19.92,11001000400,11001000400,UTC_BlockGroupPly2010_2020_23,{C0CAEEC8-95EB-4984-BFB2-35531EE3F260},0,0
